,Name,Age,Nationality,Overall,Club,Value,Wage,Preferred Foot,International Reputation,Work Rate,Height,Weight
9356,T. Ness,23,Norway,55,FK Jerv,€190K,€650,Right,1.0,Medium/ Medium,180cm,74.0
9357,B. Miovski,23,North Macedonia,64,Aberdeen,€1.3M,€2K,Left,1.0,Medium/ Medium,189cm,82.0
9358,B. Dominguez,18,Argentina,63,Gimnasia y Esgrima La Plata,€1.1M,€1K,Right,1.0,Medium/ Low,172cm,67.0
9359,20 J. Cortés,18,Mexico,58,Club Necaxa,€210K,€600,Right,1.0,Medium/ High,183cm,72.0
9360,21 T. Brindley,18,Scotland,56,Kilmarnock,€350K,€500,Left,1.0,High/ Medium,180cm,70.0
9361,22 R. Luna,25,Argentina,60,Arsenal de Sarandí,€300K,€2K,Left,1.0,High/ High,178cm,79.0
9362,22 L. Sanabria,21,Paraguay,61,Club Libertad,€725K,€500,Right,1.0,Medium/ Medium,175cm,72.0
9363,22 P. Giannotti,22,Italy,60,Crotone,€550K,€600,Right,1.0,Medium/ Medium,170cm,66.0
9364,J. Rak-Sakyi,19,England,62,Crystal Palace,€1M,€6K,Left,1.0,High/ Medium,178cm,73.0
9365,A. Chibozo,19,Benin,61,Amiens SC,€850K,€9K,Right,1.0,Medium/ Medium,172cm,68.0
9366,M. Larsen,18,Denmark,53,Brøndby IF,€250K,€800,Right,1.0,High/ Medium,169cm,63.0
9367,Iker Bravo,17,Spain,64,Bayer 04 Leverkusen,€1.5M,€2K,Right,1.0,High/ Medium,182cm,75.0
9368,J. Ceesay,20,Sweden,58,AIK,€525K,€1K,Right,1.0,Medium/ Medium,193cm,80.0
9369,J. Evan's,23,France,61,Pau FC,€725K,€900,Left,1.0,Medium/ Medium,180cm,70.0
9370,21 W. Rickard,18,Wales,56,Burnley,€300K,€3K,Right,1.0,Medium/ Medium,177cm,77.0
9371,22 B. Alcócer,17,Venezuela,62,AC Mineros de Guayana,€925K,€500,Right,1.0,High/ Low,175cm,72.0
9372,21 C. Díaz,21,Colombia,57,Deportivo Pasto,€375K,€500,Right,1.0,Medium/ Medium,174cm,68.0
9373,22 P. Banaszak,24,Poland,62,Górnik Łęczna,€575K,€950,Right,1.0,Medium/ High,187cm,78.0
9374,J. Bakke,18,Norway,56,Molde FK,€350K,€500,Right,1.0,Medium/ Medium,186cm,71.0
9375,22 Marc Echarri,22,Spain,64,CD Leganés,€1.3M,€3K,Right,1.0,Medium/ Medium,190cm,78.0
9376,22 Contreras,22,Spain,62,SD Ponferradina,€900K,€2K,Left,1.0,Medium/ Low,170cm,68.0
9377,21 O. Rimmen,19,Denmark,52,FC Nordsjælland,€210K,€1K,Right,1.0,High/ Medium,170cm,64.0
9378,R. Østrøm,19,Norway,60,Odense Boldklub,€550K,€1K,Right,1.0,Medium/ High,188cm,80.0
9379,R. Riza,23,Romania,57,AFC Chindia Târgoviște,€250K,€950,Left,1.0,Medium/ Medium,183cm,77.0
9380,22 C. Ibarra,17,Argentina,60,Club Atlético Colón,€525K,€500,Left,1.0,Medium/ Medium,175cm,70.0
9381,21 M. Holcbecher,19,Switzerland,55,Servette FC,€275K,€2K,Right,1.0,High/ Medium,185cm,73.0
9382,A. Keita,22,United States,65,Colorado Rapids,€1.3M,€2K,Left,1.0,Medium/ Medium,189cm,82.0
9383,E. Colley,22,Gambia,67,Atalanta,€2.3M,€14K,Right,1.0,High/ Low,182cm,75.0
9384,L. Martínez Dupuy,21,Mexico,64,Rosario Central,€1.4M,€3K,Right,1.0,Medium/ Medium,178cm,70.0
9385,J. Singh,21,India,59,Kerala Blasters FC,€525K,€500,Right,1.0,Medium/ Medium,189cm,81.0
9386,S. Keogh,20,Republic of Ireland,57,Sligo Rovers,€375K,€500,Right,1.0,Medium/ Medium,176cm,72.0
9387,B. Öksüz,26,Turkey,65,Atakaş Hatayspor,€825K,€4K,Left,1.0,Medium/ Medium,185cm,78.0
9388,22 L. Lokotsch,25,Germany,62,FSV Zwickau,€550K,€700,Right,1.0,Medium/ Medium,190cm,82.0
9389,22 L. González,23,Paraguay,64,Guaireña FC,€850K,€500,Right,1.0,Medium/ Low,180cm,73.0
9390,Juande,22,Spain,66,Málaga CF,€1.8M,€2K,Right,1.0,Medium/ Medium,185cm,78.0
9391,21 M. Duré,29,Paraguay,58,Club Sportivo Luqueño,€200K,€500,Right,1.0,Medium/ Medium,178cm,71.0
9392,22 J. Velásquez,21,Mexico,56,Fútbol Club Juárez,€300K,€1K,Right,1.0,Medium/ Medium,175cm,68.0
9393,22 J. Riasco,17,Venezuela,61,Deportivo La Guaira FC,€825K,€500,Right,1.0,Medium/ Medium,187cm,83.0
9394,21 T. Reyners,20,Belgium,58,Waasland-Beveren,€450K,€1K,Right,1.0,Medium/ Medium,170cm,63.0
9395,22 Jeon Jung Ho,22,Korea Republic,57,Suwon FC,€400K,€950,Right,1.0,Medium/ Medium,171cm,62.0
9396,A. Lind,20,Denmark,58,Silkeborg IF,€500K,€2K,Right,1.0,Medium/ Medium,186cm,85.0
9397,22 H. Kida,20,Japan,60,Cerezo Osaka,€500K,€1K,Right,1.0,Medium/ Medium,171cm,59.0
9398,22 João Pedro,24,Portugal,64,FC Paços de Ferreira,€900K,€2K,Right,1.0,Medium/ Medium,185cm,78.0
9399,22 L. Giaccone,20,Argentina,61,Rosario Central,€800K,€2K,Right,1.0,Medium/ Medium,175cm,68.0
9400,H. Heggheim,21,Norway,66,Brøndby IF,€1.8M,€3K,Right,1.0,Medium/ Medium,187cm,75.0
9401,22 K. Podliński,23,Poland,62,Zagłębie Lubin,€625K,€2K,Right,1.0,Medium/ Medium,194cm,89.0
9402,22 K. Torgersen,18,Norway,56,Stabæk Fotball,€325K,€500,Right,1.0,Medium/ Medium,175cm,70.0
9403,E. Vanspaul,29,India,56,Chennaiyin FC,€120K,€500,Right,1.0,Medium/ Medium,170cm,68.0
9404,K. Kostorz,22,Poland,58,Pogoń Szczecin,€450K,€2K,Left,1.0,Medium/ Medium,187cm,79.0
9405,22 V. Radonja,19,Bosnia and Herzegovina,63,AEK Athens,€1.1M,€500,Right,1.0,Low/ Medium,182cm,72.0
9406,22 Totti,19,Spain,62,Getafe CF,€950K,€3K,Right,1.0,Medium/ Medium,181cm,74.0
9407,M. Niang,22,Senegal,59,Hartlepool United,€425K,€1K,Right,1.0,Medium/ High,189cm,75.0
9408,Álex Castroviejo,20,Spain,60,Elche CF,€550K,€2K,Right,1.0,Medium/ Medium,175cm,66.0
9409,20 Y. El Kachati,19,Morocco,62,Sparta Rotterdam,€475K,€1K,Right,1.0,High/ Medium,180cm,70.0
9410,Jonatas Santos,20,Brazil,62,Al Ain FC,€950K,€500,Right,1.0,Medium/ Medium,176cm,65.0
9411,21 A. Duminică,20,Romania,57,AFC Astra Giurgiu,€425K,€1K,Right,1.0,High/ Medium,180cm,78.0
9412,Z. Bailey,21,United States,58,FC Cincinnati,€400K,€900,Right,1.0,Medium/ Medium,170cm,60.0
9413,21 M. Fernández,19,Uruguay,60,Liverpool Fútbol Club,€575K,€500,Right,1.0,Medium/ Medium,183cm,75.0
9414,L. Arriagada,20,Chile,63,Colo-Colo,€1.2M,€1K,Right,1.0,Medium/ Medium,184cm,73.0
9415,21 M. Soisalo,22,Finland,63,SV Zulte Waregem,€975K,€3K,Right,1.0,Medium/ Medium,179cm,76.0
9416,22 Iñaki Recio,21,Spain,63,Real Sociedad B,€1M,€1K,Left,1.0,Medium/ Medium,178cm,75.0
9417,22 A. Ohata,20,Japan,62,Urawa Red Diamonds,€825K,€2K,Left,1.0,Medium/ Medium,168cm,65.0
9418,22 S. Shopov,19,Bulgaria,62,SC Heerenveen,€950K,€1K,Left,1.0,High/ Medium,178cm,68.0
9419,M. Feliks,23,Poland,62,Radomiak Radom,€800K,€1K,Right,1.0,High/ Low,186cm,84.0
9420,19 L. Morales,29,Bolivia,65,,€0,€0,Left,1.0,High/ Medium,169cm,65.0
9421,K. Al Ghannam,21,Saudi Arabia,65,Al Nassr,€1.8M,€7K,Right,1.0,High/ Low,173cm,64.0
9422,22 M. Bezpalec,24,Czech Republic,63,Bruk-Bet Termalica Nieciecza,€625K,€2K,Right,1.0,Medium/ Medium,182cm,77.0
9423,N. Guinness-Walker,22,England,62,Reading,€775K,€3K,Left,1.0,High/ Medium,180cm,70.0
9424,22 P. Yeboah,18,Ghana,59,Hellas Verona,€575K,€2K,Right,1.0,High/ Medium,186cm,75.0
9425,G. Bordón,22,Paraguay,59,General Caballero (JLM),€500K,€500,Left,1.0,Medium/ Medium,171cm,68.0
9426,J. Sypek,21,Poland,59,Widzew Łódź,€500K,€850,Right,1.0,Medium/ Medium,180cm,74.0
9427,21 S. Asoma,17,Belgium,57,Club Brugge KV,€400K,€500,Right,1.0,Medium/ Medium,175cm,67.0
9428,22 L. Borges,19,Germany,60,AC Milan,€550K,€3K,Right,1.0,Medium/ Medium,183cm,82.0
9429,N. Ohio,19,Netherlands,63,Standard de Liège,€1.3M,€2K,Left,1.0,High/ Medium,183cm,89.0
9430,22 K. Cannavò,20,Italy,58,Empoli,€500K,€6K,Right,1.0,High/ Low,180cm,70.0
9431,T. Bloxham,18,England,61,Shrewsbury Town,€825K,€900,Right,1.0,Medium/ Medium,195cm,82.0
9432,22 J. Fevrier,18,England,55,West Ham United,€300K,€3K,Left,1.0,High/ Medium,175cm,71.0
9433,K. Chung,23,Canada,59,Toronto FC,€425K,€1K,Right,1.0,Medium/ Medium,175cm,68.0
9434,S. Kobusiński,24,Poland,61,Zagłębie Lubin,€500K,€2K,Right,1.0,Medium/ Medium,181cm,78.0
9435,C. Pastina,21,Italy,65,Benevento,€1.5M,€950,Left,1.0,Medium/ Medium,185cm,80.0
9436,22 Adrián Turmo,19,Spain,63,Girona FC,€1.1M,€2K,Right,1.0,Medium/ Medium,174cm,70.0
9437,G. Álvarez,22,Uruguay,70,Getafe CF,€3.3M,€11K,Left,1.0,Medium/ Medium,184cm,72.0
9438,N. Mickelson,22,Thailand,62,Odense Boldklub,€850K,€2K,Right,1.0,High/ Medium,185cm,80.0
9439,22 S. Vergara,32,Paraguay,63,General Caballero (JLM),€300K,€500,Left,1.0,Medium/ Medium,178cm,87.0
9440,K. Leavy,20,Republic of Ireland,55,Reading,€300K,€2K,Left,1.0,Medium/ High,175cm,74.0
9441,B. Pereira,19,France,61,AJ Auxerre,€825K,€2K,Right,1.0,Medium/ Medium,172cm,70.0
9442,22 A. Tanimowo,19,England,57,Brighton & Hove Albion,€375K,€4K,Right,1.0,Medium/ Medium,176cm,73.0
9443,J. McMaster,23,United States,57,Minnesota United FC,€325K,€1K,Right,1.0,Medium/ Medium,175cm,75.0
9444,Ł. Bejger,20,Poland,63,Śląsk Wrocław,€1.1M,€1K,Right,1.0,High/ Medium,190cm,76.0
9445,C. Bradley,18,Northern Ireland,62,Bolton Wanderers,€975K,€4K,Right,1.0,High/ Medium,181cm,71.0
9446,10 M. Lewandowski,30,Poland,72,,€0,€0,Right,2.0,N/A/ N/A,185cm,84.0
9447,22 C. Montiel,27,Paraguay,65,Club River Plate Asunción,€750K,€500,Left,1.0,Medium/ Medium,178cm,74.0
9448,T. Watanabe,25,Japan,68,KV Kortrijk,€1.6M,€6K,Right,1.0,Low/ High,186cm,76.0
9449,B. Kone,22,Côte d'Ivoire,60,Frosinone,€550K,€6K,Left,1.0,High/ Low,172cm,70.0
9450,21 N. Dávila,24,Ecuador,57,Club Deportivo El Nacional,€250K,€500,Right,1.0,Medium/ Medium,176cm,70.0
9451,C. Vidal,22,France,69,AC Ajaccio,€2M,€7K,Right,1.0,Medium/ Medium,181cm,76.0
9452,22 Pedro,21,Spain,64,N.E.C. Nijmegen,€1.3M,€7K,Right,1.0,Medium/ Medium,198cm,89.0
9453,F. Perruzzi,21,Argentina,61,San Lorenzo de Almagro,€700K,€2K,Right,1.0,Medium/ Medium,177cm,69.0
9454,K. Urbański,17,Poland,60,Bologna,€625K,€600,Right,1.0,Medium/ Medium,178cm,58.0
9455,P. Sutter,23,Switzerland,56,FC St. Gallen 1879,€300K,€2K,Left,1.0,Medium/ Medium,172cm,72.0
9456,15 A. Coulibaly,33,Mali,64,Valenciennes FC,€230K,€4K,Right,2.0,Medium/ Medium,186cm,83.0
9457,22 K. Gruszkowski,20,Poland,63,Wisła Kraków,€1.1M,€1K,Right,1.0,High/ Medium,183cm,74.0
9458,I. Karamoko,20,France,63,U.S. Sassuolo Calcio,€1.2M,€5K,Left,1.0,High/ Medium,175cm,60.0
9459,G. Piccinini,21,Italy,60,Pisa,€475K,€600,Right,1.0,Medium/ Medium,184cm,78.0
9460,22 F. Monzón,20,Argentina,64,Vélez Sarsfield,€1.3M,€3K,Right,1.0,Medium/ Medium,185cm,79.0
9461,T. Charters,20,England,55,Carlisle United,€250K,€2K,Right,1.0,Medium/ Low,183cm,75.0
9462,22 M. Lamti,20,Tunisia,62,Hannover 96,€825K,€3K,Right,1.0,Medium/ High,196cm,79.0
9463,22 R. Juárez,20,Mexico,66,Club Atlético de San Luis,€1.8M,€8K,Right,1.0,Medium/ Medium,182cm,81.0
9464,A. Bakayoko,19,Côte d'Ivoire,64,AS Saint-Étienne,€1.3M,€1K,Right,1.0,Medium/ Medium,185cm,75.0
9465,22 N. Masevo,19,France,58,Paris FC,€425K,€650,Right,1.0,Medium/ Medium,175cm,72.0
9466,22 S. Faqihi,26,Saudi Arabia,59,Al Hazem,€240K,€3K,Right,1.0,Medium/ High,175cm,67.0
9467,M. Natta,19,Australia,61,Newcastle Jets,€650K,€500,Left,1.0,Low/ High,175cm,70.0
9468,Wallace,27,Brazil,72,Wuhan Three Towns,€2.5M,€13K,Right,2.0,Medium/ Medium,191cm,85.0
9469,T. Siersleben,22,Germany,67,1. FC Heidenheim 1846,€1.9M,€11K,Left,1.0,Low/ Medium,187cm,80.0
9470,21 R. Dogaru,16,Romania,58,Gaz Metan Mediaş,€425K,€500,Right,1.0,Medium/ Medium,180cm,75.0
9471,M. Matras,31,Poland,64,PGE FKS Stal Mielec,€400K,€1K,Right,1.0,Medium/ Medium,193cm,88.0
9472,22 M. Panaro,18,Argentina,59,Club Atlético Aldosivi,€475K,€900,Right,1.0,High/ Low,181cm,75.0
9473,22 Y. Yuzawa,30,Japan,60,Sagan Tosu,€240K,€950,Right,1.0,Medium/ Medium,167cm,60.0
9474,22 V. Ingimundarson,22,Iceland,62,Strømsgodset IF,€900K,€1K,Right,1.0,Medium/ Medium,181cm,70.0
9475,N. Valentini,21,Argentina,65,Club Atlético Aldosivi,€1.7M,€3K,Left,1.0,Medium/ Medium,187cm,74.0
9476,E. Sutherland,22,England,63,FC Cartagena,€1.1M,€2K,Right,1.0,Medium/ Medium,176cm,70.0
9477,A. Descotte,18,Belgium,59,Royal Charleroi S.C.,€525K,€1K,Right,1.0,Medium/ Medium,180cm,76.0
9478,C. Talbot,21,Australia,60,Melbourne City FC,€525K,€1K,Right,1.0,High/ Low,175cm,74.0
9479,J. Nowakowski,20,Poland,56,Radomiak Radom,€300K,€850,Right,1.0,Medium/ Medium,176cm,69.0
9480,Y. Abdurisag,22,Qatar,62,,€0,€0,Right,1.0,Medium/ Medium,177cm,68.0
9481,A. Oyono,21,Gabon,63,Frosinone,€925K,€550,Right,1.0,Medium/ Medium,179cm,72.0
9482,21 I. El Harchi,21,Morocco,61,FC Cartagena,€675K,€1K,Right,1.0,Medium/ Low,189cm,78.0
9483,20 Fer Navarro,21,Spain,62,Albacete BP,€475K,€1K,Left,1.0,Medium/ Medium,175cm,70.0
9484,22 P. Bravo,16,Colombia,57,América de Cali,€375K,€500,Right,1.0,Medium/ Medium,190cm,79.0
9485,J. Žambůrek,21,Czech Republic,62,Viborg FF,€900K,€2K,Right,1.0,Medium/ High,175cm,61.0
9486,22 A. Valencia,17,Ecuador,59,Independiente del Valle,€525K,€500,Right,1.0,Medium/ Medium,175cm,61.0
9487,21 L. Ruíz Díaz,30,Argentina,59,Club Plaza de Deportes Colonia,€220K,€500,Right,1.0,Medium/ Medium,175cm,73.0
9488,D. Iancu,19,Romania,55,AFC Hermannstadt,€300K,€700,Right,1.0,Medium/ Medium,180cm,63.0
9489,O. Aydın,21,Turkey,64,Aytemiz Alanyaspor,€1.3M,€4K,Right,1.0,High/ Low,183cm,76.0
9490,M. Sulbarán,19,Venezuela,62,Caracas Fútbol Club,€950K,€500,Right,1.0,Medium/ Medium,165cm,59.0
9491,N. Kukanda,19,Germany,57,FC St. Pauli,€400K,€2K,Left,1.0,Medium/ Medium,180cm,75.0
9492,18 M. Smallcombe,18,Wales,53,Exeter City,€120K,€1K,Right,1.0,Medium/ Medium,172cm,64.0
9493,22 D. Crisostomo,24,United States,57,Los Angeles FC,€325K,€1K,Right,1.0,Medium/ High,175cm,68.0
9494,22 Álex Oyón,18,Spain,60,Real Sporting de Gijón,€575K,€750,Right,1.0,High/ Medium,171cm,65.0
9495,22 J. Suzuki,17,Japan,56,Shonan Bellmare,€325K,€500,Right,1.0,Medium/ Medium,183cm,76.0
9496,21 N. S'rifi,19,Belgium,57,VVV-Venlo,€350K,€850,Right,1.0,Medium/ Medium,175cm,71.0
9497,S. Ballet,21,Switzerland,60,FC Winterthur,€550K,€1K,Right,1.0,Medium/ Medium,184cm,80.0
9498,21 S. Kulenović,20,Croatia,63,Dinamo Zagreb,€1.3M,€500,Right,1.0,High/ High,190cm,83.0
9499,G. Vidović,18,Croatia,64,FC Bayern München,€1.5M,€5K,Right,1.0,Medium/ Medium,180cm,75.0
9500,N. Jessen,18,Germany,57,FC St. Pauli,€425K,€1K,Right,1.0,Medium/ Medium,182cm,73.0
9501,22 F. Maguire,17,England,57,Sheffield United,€400K,€600,Right,1.0,High/ Medium,175cm,72.0
9502,H. Dean,30,England,68,Birmingham City,€1M,€12K,Right,1.0,Medium/ High,191cm,75.0
9503,21 A. González,28,Paraguay,64,Club Nacional,€525K,€500,Right,1.0,Medium/ High,175cm,76.0
9504,Raúl Blanco,20,Spain,58,RC Celta de Vigo,€500K,€3K,Left,1.0,Medium/ Medium,174cm,65.0
9505,21 F. Chaouat,24,Tunisia,64,Abha Club,€1.2M,€3K,Right,1.0,Medium/ Low,185cm,77.0
9506,L. Gutiérrez,37,Bolivia,65,Royal Pari,€130K,€500,Left,1.0,Medium/ Medium,180cm,74.0
9507,D. Șerbănică,26,Romania,62,CS Mioveni,€475K,€1K,Left,1.0,Medium/ High,181cm,76.0
9508,J. Simpson,25,England,66,Rangers FC,€1.1M,€12K,Left,1.0,Medium/ Medium,190cm,83.0
9509,K. Ehlers,21,Germany,67,SG Dynamo Dresden,€2.1M,€2K,Right,1.0,Medium/ Medium,186cm,84.0
9510,22 José Urbina,21,Spain,61,SD Ponferradina,€775K,€1K,Left,1.0,Medium/ Medium,175cm,65.0
9511,T. Holmes,22,England,67,Reading,€1.9M,€6K,Right,1.0,Medium/ Medium,189cm,82.0
9512,N. Ngcobo,28,South Africa,65,Kaizer Chiefs,€725K,€500,Right,1.0,Low/ Medium,189cm,79.0
9513,22 G. Touré,27,France,60,Carlisle United,€250K,€2K,Right,1.0,High/ Low,188cm,88.0
9514,C. Özkacar,21,Turkey,68,Olympique Lyonnais,€2.5M,€14K,Left,1.0,Medium/ Medium,190cm,90.0
9515,R. Ndualu,22,Germany,60,MSV Duisburg,€550K,€1K,Right,1.0,Medium/ Medium,180cm,80.0
9516,22 M. Talent-Aryeetey,18,England,53,Reading,€220K,€1K,Right,1.0,High/ Medium,171cm,79.0
9517,G. Mitoglou,22,Greece,67,AEK Athens,€2.1M,€500,Right,1.0,Low/ Medium,195cm,85.0
9518,22 L. Jakobi,19,Germany,58,Türkgücü München,€450K,€550,Right,1.0,Medium/ Medium,177cm,70.0
9519,P. Ayongo,25,Ghana,63,Central Coast Mariners,€600K,€800,Right,1.0,Medium/ Medium,178cm,64.0
9520,A. Al Saeed,25,Saudi Arabia,56,Al Adalah,€190K,€3K,Right,1.0,Medium/ Medium,171cm,70.0
9521,P. Scheder,19,Germany,55,SpVgg Bayreuth,€300K,€500,Right,1.0,Medium/ Medium,184cm,77.0
9522,22 Bubacar Djaló,24,Portugal,62,HJK Helsinki,€750K,€500,Right,1.0,Low/ High,188cm,83.0
9523,J. Meyer,20,Germany,59,VfB Stuttgart,€525K,€2K,Right,1.0,Low/ Medium,181cm,73.0
9524,L. Qamili,24,Albania,61,AC Horsens,€500K,€2K,Left,1.0,Medium/ Medium,191cm,74.0
9525,P. Glatzel,21,Germany,59,Liverpool,€375K,€11K,Left,1.0,Medium/ Low,174cm,67.0
9526,22 Enol Coto,20,Spain,61,Real Sporting de Gijón,€750K,€1K,Right,1.0,Medium/ Medium,174cm,71.0
9527,Álvaro Santamaría,20,Spain,62,Real Sporting de Gijón,€975K,€2K,Right,1.0,Medium/ Medium,183cm,78.0
9528,22 A. Mercado,27,Bolivia,63,Club Deportivo Guabirá,€475K,€500,Left,1.0,Medium/ High,180cm,77.0
9529,21 R. Pedrozo,23,Paraguay,65,Guaireña FC,€950K,€4K,Right,1.0,Medium/ Medium,181cm,68.0
9530,F. Rüth,20,Germany,59,Rot-Weiß Essen,€425K,€700,Left,1.0,Medium/ Medium,187cm,83.0
9531,D. Duffy,19,Republic of Ireland,55,UCD AFC,€300K,€500,Left,1.0,Medium/ Medium,180cm,76.0
9532,L. Markmanrud,21,Norway,62,Sandefjord Fotball,€850K,€600,Right,1.0,Medium/ Medium,180cm,71.0
9533,21 N. Babil,18,Ghana,59,SC Rheindorf Altach,€525K,€1K,Left,1.0,Medium/ Low,179cm,70.0
9534,22 J. Marchand,19,Mexico,56,Pachuca,€300K,€2K,Right,1.0,Medium/ Medium,178cm,71.0
9535,R. Towler,20,England,59,Bristol City,€550K,€4K,Left,1.0,Medium/ Medium,187cm,77.0
9536,P. Wiśniewski,23,Poland,67,Venezia FC,€1.9M,€2K,Right,1.0,Medium/ Medium,194cm,91.0
9537,20 Valín,19,Spain,63,Deportivo de La Coruña,€625K,€1K,Right,1.0,Medium/ Medium,178cm,69.0
9538,21 M. Diatta,19,Senegal,59,Pau FC,€450K,€500,Right,1.0,Low/ High,188cm,80.0
9539,22 J. Lencinas,33,Argentina,65,Club Atlético Palmaflor,€350K,€500,Right,1.0,Medium/ Medium,184cm,80.0
9540,B. Tomiak,23,Germany,68,1. FC Kaiserslautern,€2.2M,€5K,Right,1.0,Medium/ Medium,193cm,87.0
9541,A. Sandoval,20,Bolivia,60,Club Deportivo Oriente Petrolero,€500K,€500,Right,1.0,Low/ Medium,180cm,71.0
9542,F. Pålerud,28,Norway,60,Sandefjord Fotball,€220K,€800,Right,1.0,Medium/ Medium,181cm,78.0
9543,22 Carlos Dias,20,Brazil,62,APOEL Nicosia FC,€950K,€500,Right,1.0,Medium/ Medium,179cm,75.0
9544,22 D. Thiam,31,France,65,USL Dunkerque,€525K,€2K,Right,1.0,Medium/ Medium,179cm,67.0
9545,22 Á. Pérez,19,Uruguay,58,Club Nacional de Football,€475K,€500,Right,1.0,Medium/ Low,172cm,72.0
9546,N. Pérez,22,Argentina,75,Udinese Calcio,€10.5M,€13K,Right,1.0,Medium/ High,186cm,75.0
9547,22 E. Quinteros,21,Argentina,58,Godoy Cruz,€425K,€1K,Right,1.0,Medium/ Medium,175cm,70.0
9548,G. Durbant,30,France,67,Stade Lavallois Mayenne FC,€1M,€3K,Right,1.0,High/ Medium,183cm,75.0
9549,22 J. Gullan,21,Scotland,60,Hibernian,€550K,€1K,Right,1.0,High/ Medium,183cm,73.0
9550,22 F. Kuruçuk,23,Turkey,70,Atakaş Hatayspor,€2.2M,€7K,Right,1.0,Low/ Medium,192cm,85.0
9551,M. Rundić,30,Serbia,66,Raków Częstochowa,€700K,€4K,Left,1.0,Low/ Medium,188cm,80.0
9552,J. Manzanilla,28,Venezuela,63,Hermanos Colmenarez,€425K,€500,Left,1.0,Medium/ Medium,180cm,78.0
9553,Fábio Tavares,21,Portugal,61,Coventry City,€800K,€3K,Right,1.0,High/ Medium,180cm,70.0
9554,Shi Ke,29,China PR,68,Shandong Taishan,€1M,€8K,Right,1.0,Medium/ Medium,182cm,81.0
9555,22 F. Caicedo,33,Ecuador,63,Guayaquil City FC,€240K,€500,Right,1.0,Medium/ Medium,175cm,78.0
9556,20 M. Martínez,21,Colombia,62,Patriotas Boyacá FC,€475K,€500,Right,1.0,Medium/ Medium,175cm,70.0
9557,M. Muntari,28,Qatar,67,,€0,€0,Right,1.0,Medium/ Medium,194cm,77.0
9558,22 K. Yamashita,25,Japan,63,FC Tokyo,€600K,€3K,Right,1.0,Medium/ Medium,184cm,75.0
9559,N. Figueroa,20,Peru,61,FBC Melgar,€800K,€500,Right,1.0,High/ Medium,184cm,75.0
9560,22 D. Mejía,18,Colombia,58,Club Independiente Santa Fe,€500K,€500,Right,1.0,Medium/ Medium,163cm,58.0
9561,22 K. Hovi,27,Finland,60,FC Viktoria 1889 Berlin,€275K,€800,Right,1.0,Medium/ Medium,185cm,79.0
9562,M. Diarra,19,Mali,63,Málaga CF,€1.1M,€1K,Right,1.0,Medium/ High,181cm,71.0
9563,C. Moros Gracia,29,Spain,64,Mjällby AIF,€550K,€1K,Right,1.0,Medium/ Medium,183cm,79.0
9564,22 T. Chacón,20,Uruguay,63,Minnesota United FC,€1.2M,€1K,Right,1.0,High/ Low,165cm,58.0
9565,D. Scarlett,18,England,64,Portsmouth,€1.9M,€7K,Right,1.0,High/ Medium,179cm,73.0
9566,S. Temel,22,Turkey,55,Atakaş Hatayspor,€275K,€2K,Right,1.0,Medium/ Medium,173cm,62.0
9567,M. Faßbender,23,Germany,64,SV Meppen,€1.3M,€750,Right,1.0,Medium/ Medium,188cm,78.0
9568,21 Ö. Sert,19,Turkey,57,BB Erzurumspor,€350K,€1K,Right,1.0,Medium/ Low,172cm,67.0
9569,B. D'Altoe,23,Uruguay,62,Cerro Largo Fútbol Club,€800K,€500,Right,1.0,Medium/ Medium,182cm,76.0
9570,22 J. Gallegos,19,United States,60,SønderjyskE,€575K,€1K,Right,1.0,High/ Medium,176cm,74.0
9571,T. Müller,27,Germany,67,SC Paderborn 07,€1.1M,€7K,Right,1.0,Low/ Medium,188cm,80.0
9572,I. Olaofe,22,England,61,Millwall,€750K,€3K,Right,1.0,High/ High,178cm,82.0
9573,22 C. Gogoua,26,Côte d'Ivoire,67,PFC CSKA Moscow,€1.2M,€12K,Right,1.0,Medium/ High,190cm,86.0
9574,S. Banks,20,Scotland,59,Bradford City,€550K,€6K,Left,1.0,Medium/ Medium,183cm,74.0
9575,D. Nealis,23,United States,62,New York Red Bulls,€750K,€1K,Right,1.0,High/ High,181cm,79.0
9576,C. John,22,England,60,Rochdale,€475K,€2K,Left,1.0,High/ Medium,181cm,78.0
9577,21 B. Petrović,22,Croatia,62,TSV Egger Glas Hartberg,€825K,€2K,Right,1.0,Medium/ Medium,181cm,77.0
9578,A. Konaté,21,France,61,Nottingham Forest,€800K,€7K,Right,1.0,Medium/ Medium,179cm,66.0
9579,A. Colassin,21,Belgium,65,RSC Anderlecht,€1.6M,€5K,Right,1.0,Medium/ Medium,188cm,82.0
9580,22 Aguirre,21,Spain,60,Rayo Vallecano,€600K,€2K,Left,1.0,Medium/ Low,180cm,75.0
9581,S. Diakité,22,France,65,Ternana,€1M,€1K,Right,1.0,Medium/ Medium,187cm,82.0
9582,T. Rapnouil,21,France,59,Toulouse Football Club,€475K,€2K,Left,1.0,Medium/ High,188cm,68.0
9583,F. Mendy,21,Senegal,65,Amiens SC,€1.5M,€1K,Right,1.0,Medium/ Medium,191cm,79.0
9584,J. Ekomié,18,Gabon,64,FC Girondins de Bordeaux,€1.3M,€550,Left,1.0,Medium/ Medium,179cm,73.0
9585,A. Mosór,19,Poland,66,Piast Gliwice,€1.7M,€2K,Right,1.0,Medium/ High,184cm,82.0
